weight_ab_swap,weight_word_char,valid_log_loss,valid_accuracy,valid_macro_f1
0.7,0.30000000000000004,1.0779930707241803,0.39631176061238693,0.39722356832615396
0.8,0.19999999999999996,1.07799445248769,0.39657272094641616,0.39745689498151604
0.6,0.4,1.078027787021521,0.3958768267223382,0.39674746895614676
0.9,0.09999999999999998,1.0780319650083208,0.3954418928322895,0.39630283767371716
0.5,0.5,1.0780986099330647,0.3933542101600557,0.39413154419911334
1.0,0.0,1.0781056826605384,0.3954418928322895,0.39630027027747355
0.4,0.6,1.0782055891530054,0.3917884481558803,0.39259231347295814
0.3,0.7,1.0783488157240888,0.3904836464857342,0.3912628719735402
0.2,0.8,1.0785284225661271,0.389526791927627,0.39025375046555516
0.1,0.9,1.07874458533743,0.3890918580375783,0.3897719942261368
0.0,1.0,1.0789975236497449,0.38735212247738343,0.3879939094963794
