max_features,ngram_range,C,valid_log_loss,valid_accuracy,valid_macro_f1
100000,"(1, 2)",0.1,1.0808773529013118,0.3852644398051496,0.38357567446512014
50000,"(1, 2)",0.1,1.0809921423833744,0.38674321503131526,0.3853975683397685
30000,"(1, 2)",0.1,1.0814125973730018,0.3838726513569937,0.3827998564583022
100000,"(1, 1)",0.1,1.0820401759290275,0.3882219902574809,0.3871300987142174
50000,"(1, 1)",0.1,1.0822236553939764,0.38796102992345166,0.386762084209253
30000,"(1, 2)",0.05,1.0823977035973775,0.3850904662491301,0.38142053468100334
50000,"(1, 2)",0.05,1.0824743542064215,0.3840466249130132,0.3797889159111684
30000,"(1, 1)",0.1,1.082495445193337,0.3869171885873347,0.38612512481175126
100000,"(1, 2)",0.3,1.082724109779122,0.3877000695894224,0.3879138538256746
100000,"(1, 2)",0.05,1.0828299496753349,0.3849164926931106,0.37936976498982605
100000,"(1, 1)",0.05,1.0830584737743152,0.386830201809325,0.38343818122748274
50000,"(1, 1)",0.05,1.0830828710293725,0.38752609603340293,0.3842597656360993
30000,"(1, 1)",0.05,1.0830996434805322,0.38569937369519836,0.3830221637137798
50000,"(1, 2)",0.3,1.0844494895680745,0.38656924147529576,0.3870251673256813
30000,"(1, 2)",0.3,1.086520751180807,0.3825678496868476,0.38314612162121264
100000,"(1, 1)",0.3,1.0868636355818764,0.3859603340292276,0.3862795496153956
50000,"(1, 1)",0.3,1.0875914947835619,0.3840466249130132,0.3843329700125597
100000,"(1, 2)",0.5,1.0881263312899976,0.3835247042449548,0.3838632367460746
30000,"(1, 1)",0.3,1.0887175908794657,0.3839596381350035,0.38426267696007277
50000,"(1, 2)",0.5,1.0912660086445112,0.3830027835768963,0.38337827965397936
100000,"(1, 1)",0.5,1.0944214806313213,0.3839596381350035,0.3844340884697441
30000,"(1, 2)",0.5,1.0946766803645247,0.3795233124565066,0.3801139107064311
50000,"(1, 1)",0.5,1.0956134394854393,0.3840466249130132,0.3846369096762318
30000,"(1, 1)",0.5,1.097439724169803,0.3816979819067502,0.3823203940511812
100000,"(1, 2)",1.0,1.1047802593540297,0.3816979819067502,0.3822168741029457
50000,"(1, 2)",1.0,1.1109864004295316,0.38065414057063324,0.3812529181018644
100000,"(1, 1)",1.0,1.114219027983413,0.38108907446068196,0.38176420028564034
50000,"(1, 1)",1.0,1.1163841690435679,0.380741127348643,0.38148671519457844
30000,"(1, 2)",1.0,1.1169626198745612,0.3754349338900487,0.3758378725334302
30000,"(1, 1)",1.0,1.119598343440981,0.37856645789839943,0.37915710463457364
