valid_log_loss,valid_accuracy,valid_macro_f1,weight_ab_swap,weight_word_char
1.0779895249900804,0.39639874739039666,0.39723970985629614,0.7,0.30000000000000004
1.0779913278590616,0.39761656228253306,0.3984258610986995,0.6,0.4
1.0780079819726718,0.3966597077244259,0.39749809822081944,0.8,0.19999999999999996
1.0780134054206794,0.39622477383437715,0.3969992469315091,0.5,0.5
1.0780466972643692,0.39509394572025053,0.3959743864343713,0.9,0.09999999999999998
1.0780557858373472,0.3957028531663187,0.396522463481785,0.4,0.6
1.0781056826605384,0.3954418928322895,0.39630027027747355,1.0,0.0
1.0781185106773932,0.3972686151704941,0.39815017244703577,0.3,0.7
1.0782016350621795,0.3972686151704941,0.3980852495934121,0.2,0.8
1.078305227877446,0.3970076548364649,0.39782282559006116,0.1,0.9
1.0784293720515206,0.3950069589422408,0.3887285640289568,0.0,1.0
